WheelSpeed,GPSSpeed,CommandedSpeed
0,nan,50
nan,0.423022,50
0.44246,0.26913,50
0.663769,0.174924,50
0.885033,0.229905,50
1.1062,0.342935,50
1.32723,0.465114,50
1.54807,0.593217,50
1.76867,0.72941,50
1.98897,0.87479,50
2.20895,1.02923,50
2.42854,1.19197,50
2.6477,1.36207,50
2.86639,1.5386,50
3.08457,1.72071,50
3.30219,1.9077,50
3.5192,2.09894,50
3.73558,2.29389,50
3.95127,2.4921,50
4.16626,2.69266,50
4.3805,2.89506,50
4.59395,3.09869,50
4.80659,3.30297,50
5.01835,3.50772,50
5.22922,3.71277,50
5.43916,3.91792,50
5.64812,4.12303,50
5.8561,4.32791,50
6.06307,4.53243,50
6.26898,4.73645,50
6.47383,4.93986,50
6.67757,5.14255,50
6.8802,5.34444,50
7.08167,5.54546,50
7.28199,5.74556,50
7.48111,5.94471,50
7.67902,6.14289,50
7.87571,6.3401,50
8.07115,6.53634,50
8.26533,6.73163,50
8.45823,6.92601,50
8.64984,7.11951,50
8.84014,7.31218,50
9.02912,7.50407,50
9.21677,7.69524,50
9.40307,7.88576,50
9.58801,8.07567,50
9.77159,8.26506,50
9.95379,8.45397,50
10.1346,8.64248,50
10.314,8.83063,50
10.4921,9.0185,50
10.6687,9.20612,50
10.8439,9.39355,50
11.0177,9.58084,50
11.1901,9.76802,50
11.361,9.95514,50
11.5306,10.1422,50
11.6987,10.3293,50
11.8653,10.5163,50
12.0306,10.7034,50
12.1944,10.8906,50
12.3568,11.0777,50
12.5178,11.2649,50
12.6773,11.4522,50
12.8355,11.6395,50
12.9922,11.8268,50
13.1475,12.0141,50
13.3014,12.2015,50
13.4539,12.3889,50
13.605,12.5762,50
13.7547,12.7635,50
13.903,12.9508,50
14.05,13.138,50
14.1955,13.3251,50
14.3397,13.5122,50
14.4826,13.6991,50
14.6241,13.8859,50
14.7642,14.0725,50
14.903,14.259,50
15.0405,14.4454,50
15.1767,14.6316,50
15.3116,14.8175,50
15.4452,15.0033,50
15.5775,15.1889,50
15.7085,15.3743,50
15.8383,15.5595,50
15.9667,15.7445,50
16.094,15.9292,50
16.22,16.1138,50
16.3448,16.2981,50
16.4683,16.4822,50
16.5907,16.6661,50
16.7119,16.8498,50
16.8318,17.0333,50
16.9507,17.2166,50
17.0683,17.3996,50
17.1848,17.5825,50
17.3001,17.7652,50
17.4143,17.9477,50
17.5274,18.13,50
17.6394,18.3122,50
17.7503,18.4941,50
17.8601,18.6759,50
17.9688,18.8576,50
18.0764,19.039,50
18.183,19.2203,50
18.2886,19.4015,50
18.3931,19.5825,50
18.4965,19.7633,50
18.599,19.944,50
18.7005,20.1246,50
18.8009,20.305,50
18.9004,20.4852,50
18.9989,20.6653,50
19.0965,20.8453,50
19.1931,21.0251,50
19.2888,21.2048,50
19.3835,21.3844,50
19.4773,21.5638,50
19.5702,21.743,50
19.6622,21.9221,50
19.7533,22.1011,50
19.8435,22.2799,50
19.9329,22.4585,50
20.0214,22.6371,50
20.109,22.8154,50
20.1958,22.9936,50
20.2818,23.1717,50
20.3669,23.3496,50
20.4513,23.5274,50
20.5348,23.705,50
20.6175,23.8824,50
20.6995,24.0597,50
20.7806,24.2369,50
20.861,24.4139,50
20.9407,24.5907,50
21.0196,24.7674,50
21.0977,24.9439,50
21.1752,25.1202,50
21.2519,25.2964,50
21.3279,25.4725,50
21.4031,25.6483,50
21.4777,25.8241,50
21.5516,25.9996,50
21.6248,26.175,50
21.6973,26.3503,50
21.7692,26.5254,50
21.8404,26.7003,50
21.9109,26.8751,50
21.9808,27.0498,50
22.0501,27.2242,50
22.1187,27.3986,50
22.1867,27.5727,50
22.2541,27.7467,50
22.3209,27.9206,50
22.3871,28.0943,50
22.4527,28.2679,50
22.5177,28.4413,50
22.5821,28.6145,50
22.646,28.7876,50
22.7092,28.9606,50
22.772,29.1334,50
22.8341,29.306,50
22.8957,29.4785,50
22.9568,29.6509,50
23.0174,29.8231,50
23.0774,29.9951,50
23.1369,30.167,50
23.1958,30.3388,50
23.2543,30.5104,50
23.3122,30.6818,50
23.3697,30.8531,50
23.4267,31.0243,50
23.4831,31.1953,50
23.5391,31.3661,50
23.5946,31.5368,50
23.6497,31.7074,50
